score	ordklasse	lemma	definition	genprox	kollokation	hyper	ddo_bet	ddo_dannetsemid	ddo_entryid	dn_id
7	sb.	plan	afgrænset område el. dimension som man anskuer noget ud fra	område		{område_1}	4.b	21062758	11039970	18394
15	sb.	plan	nærmere angivet placering i et hierarki el. en rangorden	placering			4.c	21062759	11039970	
4	sb.	plan	fysisk flade el. tænkt udstrækning	flade		{flade,1_1}	5	21062754	11039970	27268
1	adj.	plan	helt flad, jævn og lige	jævn		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21062763	11039971	78290
1	adj.	plan	helt uden krumninger således at en ret linje mellem to vilkårlige punkter på fladen ligger helt i denne	krumning			1.a	21062764	11039971	
23	sb.	plante	levende organisme der ikke har nogen særlig evne til at bevæge sig, og som typisk ernærer sig ved at omdanne uorganisk stof (fx vand og kuldioxid) til organiske forbindelser ved fotosyntese	organisme		{organisme_1}	1	21062802	11039999	559
4	sb.	plante	nogen (el. noget) der kræver omhyggelig pleje og omsorg	nogen			1.a	21062803	11039999	
4	vb.	plante	sætte en plante med roden i jorden, ofte ved nedgravning, for at få den til at vokse	sætte		"{gøre_1; handle_1}"	1	21062805	11040000	46277
4	vb.	plante	anlægge ved at sætte træer, buske el. andre planter i jorden på et område	anlægge		{anlægge_1}	1.a	21062807	11040000	70848
10	vb.	plante	placere kraftfuldt og eftertrykkeligt	placere			1.b	21062808	11040000	43415
2	vb.	plante	placere hemmeligt og med fuldt overlæg for at skade el. tilgodese nogen	placere			2	21062806	11040000	43414
2	sb.	plaster	selvklæbende stykke lærred, plastic e.l. som midtpå har et lille kompres, og som klæbes på huden for at beskytte fx et sår el. en vabel under helingen	stykke		"{anordning_1; indretning_2}"	1	21062858	11040042	14620
1	sb.	plaster	lignende stykke lærred el. plastic forsynet med vat e.l. der indeholder medicin som langsomt optages gennem huden	stykke			1.a	21062860	11040042	
0	sb.	plaster	omslag i form af et stykke stof hvorpå der er smurt en lindrende el. helende grød, pasta e.l.	omslag			1.b	21062861	11040042	
1	sb.	plaster	skulptur af gips	skulptur		{skulptur_1}	2	21062859	11040042	15370
3	sb.	plastic	syntetisk materiale som under forarbejdning kan blive plastisk så det kan formes, og som finder meget bred og omfattende anvendelse	materiale		{materiale_1}	1	21062866	11040045	2041
1	sb.	plastic	plastic betragtet som erstatning for el. efterligning af naturstoffer som træ, metal og uld	plastic		"{plastic_1; formstof_1}"	1.a	21062867	11040045	10625
1	sb.	platform	afgrænset flade der er hævet over omgivelserne og beregnet til at stå på	flade		{flade,1_1}	1	21062913	11040078	40086
3	sb.	platform	politisk program der fungerer som samlingspunkt for et parti el. en gruppe mennesker	program			1.a	21062914	11040078	
1	sb.	platform	udgangspunkt for yderligere opmærksomhed, aktivitet e.l.	udgangspunkt			1.b	21062915	11040078	
1	sb.	platform	helhed af hardware og styresystem som noget bestemt software er beregnet til	helhed			1.c	21062916	11040078	
14	sb.	pleje	det at passe, pleje og drage omsorg for et (sygt el. svækket) menneske el. dyr	passe		{handling_1}	1	21062951	11040107	25817
3	sb.	pleje	det at sørge for at (en del af) kroppen holdes ren og sund	sørge		{aktivitet_1}	1.a	21062953	11040107	48606
2	sb.	pleje	det at holde noget ved lige, i orden e.l., fx en genstand, et køretøj el. et naturområde	holde			1.b	21062954	11040107	
1	sb.	pleje	det at gøre noget til genstand for særlig opmærksomhed, især for at sætte det i stand til at yde el. præstere noget særligt el. det man ønsker	gøre		{aktivitet_1}	2	21062952	11040107	65412
9	sb.	plet	mindre, afgrænset område der afviger i farve el. struktur fra den omgivende overflade	område		{område_2_2}	1	21062990	11040135	18398
1	sb.	plet	mindre, snavset område på tøj, møbler e.l., fx med en rest af noget man har spildt	område		{plet,1_1}	1.a	21062993	11040135	18400
2	sb.	plet	noget der skader el. vanærer nogens el. nogets omdømme	skade			1.b	21062994	11040135	
1	sb.	plet	område el. lokalitet med et bestemt særpræg	område		{lokalitet_1}	2	21062991	11040135	18399
2	vb.	plette	fremkalde el. danne pletter på noget	fremkalde		"{bevirke_1; fremkalde_1; udvirke_2}"	1	21063016	11040142	72937
2	vb.	plette	påføre maling, grunder e.l. på dele af en overflade, fx på særlig slidte steder	påføre		{påføre_2}	1.a	21063017	11040142	44434
3	vb.	plette	skade el. vanære nogens el. nogets omdømme	skade		{skade,3_1}	1.b	21063018	11040142	44503
14	sb.	pligt	indre tilskyndelse til at handle på en bestemt måde fordi ens samvittighed el. nogle sociale normer påbyder det	tilskyndelse		"{fornemmelse_1_2; følelse_1; sindsstemning_1}"	1	21063028	11040150	37661
9	sb.	pligt	opgave el. krav som man er pålagt af ydre nødvendighed, fx fordi det hører til ens arbejde, el. fordi det er påbudt ved lov	noget		{opgave_1}	1.a	21063029	11040150	48737
1	sb.	pludder	"hurtig og uforståelig tale; snak; vrøvl"	tale		{talehandling_1}	2	21063066	11040179	21537
7	vb.	plukke	brække, klippe el. pille noget af en plante	brække		{brække_1}	1	21063076	11040187	78408
3	vb.	plukke	rive fjer el. hår af	rive		{fjerne_1}	2	21063077	11040187	30990
2	vb.	plukke	(gentagne gange) tage penge el. ting fra nogen som ikke er vidende om det, el. som kun modstræbende el. ufrivilligt skiller sig af med de pågældende værdier, hvorfor vedkommende evt. føler sig udnyttet el. forurettet	tage			2.a	21063080	11040187	
4	vb.	plukke	vælge, udvælge	vælge		{vælge_1}	3	21063078	11040187	45109
2	vb.	plukke	dele fx madvarer i mindre stykker (med hænderne)	dele		{dele_1}	4	21063079	11040187	34324
2	sb.	pløk	kort, stiv, spids stang med ombuk i toppen til at fastholde teltdug el. en bardun	stang			1	21063142	11040227	24863
1	sb.	pløk	tand	tand		"{legemsdel_1; DN:kropsdel}"	1.a	21063143	11040227	12374
3	sb.	poesi	skønlitterær digtning der ofte er strengt bundet mht. rim, rytme, metrik m.m.	digtning		"{digtning_1; skønlitteratur_1}"	1	21063174	11040248	39212
2	sb.	poesi	romantisk stemning el. følelsesladet og stemningsfuldt udtryk, evt. skabt el. formidlet gennem kunst	stemning		{stemning_1}	2	21063175	11040248	74377
1	sb.	poesi	digt, digterværk	digt		{digt_1}	3	21063176	11040248	35354
16	sb.	point	talenhed der bruges til at vise hvordan en person el. et hold klarer sig i fx en turnering, en sportskamp, en quiz el. et andet forløb	talenhed		{tal_1}	1	21063186	11040257	65305
1	sb.	point	talenhed der bruges til at vise forskellen mellem de kursværdier som fx aktier og obligationer handles til	talenhed		{enhed_5}	2	21063187	11040257	72641
1	sb.	pol	hvert af de to punkter hvor Jordens rotationsakse skærer jordoverfladen, med beliggenhed 90° nordlig henholdsvis sydlig bredde	punkt		{område_2}	1	21063221	11040278	38772
1	sb.	pol	hvert af de to punkter hvor Jordens forlængede rotationsakse synes at skære himmelkuglen	punkt		{punkt_1_1}	1.a	21063226	11040278	42094
4	sb.	pol	kontakt på en strømkilde e.l. som kan betragtes som udgangs- el. slutpunkt for et elektrisk kredsløb	kontakt		"{knap,1_2; kontakt_3}"	2	21063222	11040278	57343
2	sb.	pol	hvert af de to områder på en magnet hvor den magnetiske tiltrækningskraft er stærkest	område		{område_2_2}	3	21063223	11040278	18402
1	sb.	pol	hver af typisk to yderligtgående tendenser, interesser, holdninger e.l. som står i diametral modsætning til hinanden	tendens			4	21063224	11040278	
0	sb.	pol	nulpunkt i et polært koordinatsystem	nulpunkt			5	21063225	11040278	
4	sb.	politibetjent	person der er ansat i politiet til politimæssigt arbejde (uden nærmere tanke på vedkommendes stilling og rang)	person		{politimand_1}	1	21063268	11040319	35565
1	sb.	politibetjent	person der er ansat i politiet til politimæssigt arbejde og som har under 5 års anciennitet	person		{politimand_1}	1.a	21063269	11040319	35566
15	sb.	politik	beskæftigelse med at styre el. påvirke samfundsudviklingen og med at fastsætte og fordele økonomiske og andre værdier i et samfund på grundlag af en ideologi el. en helhedsopfattelse	beskæftigelse		"{disciplin_2; fag_1; fagområde_1; felt,1_2_1; genstandsområde_1; gren_2; retning_2; skole,1_1_3; videnskab_1_1; genstandsfelt_1}"	1	21063279	11040329	26726
6	sb.	politik	sådanne bestræbelser og aktiviteter udfoldet og udøvet inden for et bestemt geografisk område, ofte et land	aktivitet		{politik_1_2}	1.a	21063282	11040329	24455
6	sb.	politik	statslige el. en anden form for offentlige aktiviteter som iværksættes på et område med udgangspunkt i fx en regerings el. en kommunalbestyrelses ønske om at styre udviklingen på området i en bestemt retning	aktivitet		{aktivitet_1}	1.b	21063283	11040329	24454
4	sb.	politik	overordnet (ideologisk) program el. princip som en politiker, et politisk parti e.l. følger	program		{program_4}	2	21063280	11040329	48260
2	sb.	politik	princip el. holdning som er retningsgivende for en persons, organisations el. virksomheds handlinger, beslutninger m.m.	princip		{regel_1}	3	21063281	11040329	36970
26	adj.	politisk	som har at gøre med politik	politik		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21063302	11040344	57740
7	adj.	politisk	som beskæftiger sig med politik og ofte har denne beskæftigelse som erhverv	beskæftige			1.a	21063304	11040344	
4	adj.	politisk	som ikke har mulighed for at udfolde sig frit, men bliver undertrykt af et ofte totalitært regime	udfolde			2	21063303	11040344	
3	adj.	politisk	som vedrører el. er knyttet til et sådant forhold	vedrøre			2.a	21063305	11040344	
1	sb.	pop	handling, adfærd e.l. der opfattes som useriøs, underlødig, letkøbt e.l.	handling		{handling_1}	2	21063421	11040445	25444
5	adj.	populær	som mange (i den brede befolkning) holder af	holde		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21063453	11040474	78129
1	adj.	populær	som en bestemt person el. gruppe holder af	holde			1.a	21063455	11040474	
4	adj.	populær	almindelig udbredt i offentligheden	udbrede			2	21063454	11040474	
6	sb.	port	stor åbning i en mur, bygning e.l., ofte med døre	åbning		{åbning_1}	1	21063478	11040496	38505
4	sb.	port	(dobbelt)dør i en sådan åbning, lavet af træ, jern, gitterværk e.l.	dør		"{dør_1; dørplade_1}"	1.a	21063480	11040496	34753
4	sb.	port	åbning, adgang el. indgang til noget, ofte noget nyt, eftertragtelsesværdigt el. skæbnesvangert	åbning			1.b	21063481	11040496	
1	sb.	port	(lukke for) åbning der tillader passage gennem noget, fx en sluse	åbning			1.c	21063482	11040496	
1	sb.	port	to opretstående stænger e.l. som står parvis på en pist, og som en skiløber skal passere imellem på sin vej ned ad pisten	stang		"{sportsrekvisit_0; sportsudstyr_0}"	1.d	21063483	11040496	24864
0	sb.	port	forbindelse mellem en central enhed i en computer og en anden enhed, fx en printer	forbindelse		{forbindelse_1}	2	21063479	11040496	73496
12	sb.	portion	bestemt, ofte afmålt el. afpasset mængde af noget, fx mad, væske el. penge	mængde		{del_1}	1	21063501	11040507	8574
5	sb.	portion	mængde af en særlig egenskab el. størrelse	mængde		"{kvantitet_1; mængde_1}"	1.a	21063502	11040507	8575
2	sb.	portræt	billede som gengiver en el. flere personer i form af et maleri, en tegning, et foto e.l.	billede		{billede_1}	1	21063511	11040515	17569
3	sb.	portræt	tekst, film, udsendelse e.l. som giver et indtryk el. en opfattelse af nogen el. noget gennem en karakteristik el. en fremhævelse af specielle træk	tekst		{indhold_2}	1.a	21063512	11040515	7856
4	sb.	pose	beholder af tyndt materiale, især plastic el. papir, med åbning foroven og evt. med håndtag til transport el. en snor til sammensnøring	beholder		{beholder_1}	1	21063532	11040533	2896
10	sb.	pose	den mængde af noget der kan være i en sådan beholder af karakteristisk størrelse	mængde		"{kvantitet_1; mængde_1}"	1.a	21063534	11040533	8585
2	sb.	pose	hulrum el. hudfold i el. på et menneskes el. et dyrs krop, med form som en sådan beholder	hulrum		"{hulrum_1; hulning,1_2}"	2	21063533	11040533	40886
1	sb.	position	område el. punkt hvor nogen el. noget befinder sig, ofte angivet med tal på grundlag af en form for koordinatsystem	område		{sted_1}	1	21063551	11040542	18403
6	sb.	position	den fysiske placering af nogen el. noget i forhold til andre personer el. til afgrænsninger e.l., fx på en bane el. en vej	placering		{placering_1}	1.a	21063555	11040542	45416
2	sb.	position	stilling som noget el. nogen indtager (i forhold til en el. flere andre mulige stillinger)	stilling		{stilling_1}	1.b	21063556	11040542	75190
15	sb.	position	social, arbejdsmæssig el. konkurrencemæssig stilling el. placering	stilling		"{stilling_1_2; tilstand_1}"	2	21063552	11040542	20772
2	sb.	position	indstilling til el. opfattelse af nogen el. noget	indstilling		{tankevirksomhed_1}	3	21063553	11040542	26772
2	sb.	position	hver af de fem grundstillinger for henholdsvis fødder og arme i klassisk ballet	grundstilling		{stilling_1}	4	21063554	11040542	45394
6	adj.	positiv	god, gavnlig og ønskelig i en bestemt sammenhæng	god		{god_1}	1	21063568	11040549	28838
13	adj.	positiv	som er venligt stemt, som støtter el. fremmer en idé, et forslag e.l.	stemme			2	21063569	11040549	
2	adj.	positiv	glad, optimistisk og imødekommende	glad			2.a	21063574	11040549	
4	adj.	positiv	som vedrører el. indebærer bekræftelse, tilslutning el. accept	bekræftelse		"{beskaffenhed_1; egenskab_1; side_7_1}"	3	21063570	11040549	78127
1	adj.	positiv	som indebærer tilstedeværelse af et bestemt stof el. en bestemt tilstand	tilstedeværelse			3.a	21063575	11040549	
4	adj.	positiv	større end nul	stor		{stor_1}	4	21063571	11040549	29159
1	adj.	positiv	vedr. stigning, overskud, vækst osv.	vedrøre			4.a	21063576	11040549	
4	adj.	positiv	som har el. er karakteristisk for den type af elektrisk ladning som protoner har, og som tiltrækker elektroner	ladning			5	21063572	11040549	
2	adj.	positiv	med samme fordeling af lys og mørke el. farver som det originale motiv	fordeling			6	21063573	11040549	
15	sb.	post	embede el. hverv, især et betroet el. overordnet som man udnævnes el. vælges til	embede		"{embede_1; plads_7}"	1	21063588	11040558	38179
5	sb.	post	sted hvor én el. flere personer er placeret el. har taget opstilling for at udføre en bestemt opgave, især for at observere el. holde vagt	sted		{sted_1}	2	21063589	11040558	7137
0	sb.	post	person der er sat på en sådan opgave	person		"{hoved_3; individ_1; mand_3; menneske_1_1; person_1; m/k'er_0}"	2.a	21063592	11040558	6736
1	sb.	post	kontrolsted som er anbragt på en rute i fx et orienteringsløb, og hvor deltagerne skal standse op og stemple et kontrolkort, besvare en opgave el. på anden måde dokumentere at de har været der	kontrolsted		{sted_1}	3	21063590	11040558	7220
1	sb.	post	opgave e.l. der er udlagt på et sådant kontrolsted	opgave			3.a	21063593	11040558	
1	sb.	post	tydeligt afmærket opstilling i terrænet der skal markere en bestemt funktion	opstilling			4	21063591	11040558	
7	sb.	post	breve, pakker og andre forsendelser der sendes og omdeles gennem postvæsenet	brev		"{effekt_3; genstand_1; ting,1_1}"	1	21063595	11040559	37468
3	sb.	post	breve, meddelelser m.m. der ekspederes på anden måde	brev		{skrivelse_1}	1.a	21063597	11040559	37469
5	sb.	post	(statslig) institution som har ansvar for ekspedition af breve, pakker og andre forsendelser	institution		{institution_1}	2	21063596	11040559	17143
1	sb.	post	kontor el. bygning hvor der foregår postekspedition	kontor		"{kontor_1; kontor_1_1}"	2.a	21063598	11040559	35383
3	sb.	potte	mindre, fladbundet og rund beholder af fx ler el. plastic der bruges til planter, til køkkenbrug el. til pynt	beholder		{beholder_1}	1	21063707	11040650	2899
4	sb.	potte	mindre, rund el. oval beholder, oftest af plastic, som små børn sidder på når de skal vænnes af med at bruge ble for derefter selv at kunne gå på toilettet	beholder		{beholder_1}	2	21063708	11040650	2900
4	sb.	PR	indsats som en virksomhed, en institution e.l. gør for at informere om sig selv og påvirke sit omdømme i offentligheden	indsats			1	21063724	11040663	
2	sb.	PR	offentlig opmærksomhed, goodwill	opmærksomhed			1.a	21063725	11040663	
3	sb.	praksis	virkeliggørelse af noget tænkt el. planlagt	virkeliggørelse		{virkeliggørelse_1}	1	21063759	11040683	65343
5	sb.	praksis	fremgangsmåde (som er alm. anvendt), sædvane	fremgangsmåde		{fremgangsmåde_1}	2	21063760	11040683	56525
1	sb.	praksis	selvstændig virksomhed som udøves af en læge, advokat e.l.	virksomhed		"{firma_1; virksomhed_1}"	3	21063761	11040683	16896
24	adj.	praktisk	som hører til, vedrører el. er rettet mod den konkrete udøvelse el. gennemførelse af noget tænkt el. planlagt	udøvelse		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21063774	11040693	74211
8	adj.	praktisk	rettet mod el. præget af fysisk el. håndværksmæssigt arbejde	rettet		"{beskaffenhed_1; egenskab_1; side_7_1}"	1.a	21063777	11040693	71771
3	adj.	praktisk	bekvem el. hensigtsmæssig, især i en konkret situation	bekvem		"{beskaffenhed_1; egenskab_1; side_7_1}"	2	21063775	11040693	78330
2	adj.	praktisk	nem at håndtere, betjene, anvende e.l., velegnet og velfungerende i en konkret situation	nem			2.a	21063778	11040693	
3	adj.	praktisk	som har et godt håndelag, som fokuserer på det mest hensigtsmæssige i en konkret situation og på løsningen af konkrete problemer	håndelag			3	21063776	11040693	
3	vb.	prale	fremstille sig selv som bedre, klogere, rigere, mere interessant osv. end man er, ved at omtale sig selv el. ens handlinger på en upassende selvhævdende el. overdreven måde	fremstille		{ytre_1}	1	21063783	11040696	48014
4	vb.	prale	(lade) fremhæve el. fremvise et særlig positivt, imponerende el. iøjnefaldende træk ved sig selv	fremhæve			1.a	21063784	11040696	
1	sb.	pres	kraftigt, vedvarende tryk	tryk		{tryk_1}	1	21063813	11040718	65345
1	sb.	pres	følelse af at det trykker el. spænder i kroppen	følelse		"{fornemmelse_1_2; følelse_1; sindsstemning_1}"	1.a	21063814	11040718	14297
17	sb.	pres	(psykisk) belastning der svækker nogens position el. skaber en trængt situation	belastning			1.b	21063815	11040718	
6	sb.	pres	stærk tilskyndelse, tvang	tilskyndelse			1.c	21063816	11040718	
19	sb.	presse	nyhedsmedier som fx aviser, radio og tv	nyhedsmedier		{sektor_1}	1	21063821	11040722	38818
2	sb.	presse	journalister, pressefotografer mfl. der arbejder inden for nyhedsmedierne	journalist		"{gruppe_1; samling_3}"	1.a	21063824	11040722	47697
1	sb.	presse	udsendelsen Radioavisen i Danmarks Radio	udsendelse		{udsendelse_1_1}	2	21063822	11040722	33660
1	sb.	presse	maskine el. redskab som udøver et tryk, og som fx bruges til påtrykning af tekst el. til sammenpresning af materialer el. genstande	maskine		"{maskine_1; maskine_1_1}"	3	21063823	11040722	9915
4	vb.	presse	udsætte for et kraftigt, vedvarende tryk fra én el. flere sider, fx for at formindske el. forme noget eller for at trykke væske el. luft ud af noget	udsætte		"{gøre_1; handle_1}"	1	21063827	11040723	43622
3	vb.	presse	bevæge i en bestemt retning under modstand	bevæge		"{bevæge_1; movere_1}"	1.a	21063829	11040723	30133
1	vb.	presse	tørre en blomst el. anden plantedel ved at lægge den i pres mellem fugtighedssugende lag	tørre			1.b	21063830	11040723	
9	vb.	presse	sætte i en trængt, problematisk situation, belaste (psykisk)	sætte			1.c	21063831	11040723	
4	vb.	presse	i sport: være i langvarigt, kraftigt angreb for at besejre modstanderen	være			1.d	21063832	11040723	
7	vb.	presse	(forsøge at) tvinge, overtale el. påvirke til noget, fx til at yde en bestemt præstation eller til at afgive el. forlade noget	forsøge		{påvirke_1_1}	1.e	21063833	11040723	43651
4	vb.	presse	få til at blive større el. mindre ved kraftig påvirkning	få			1.f	21063834	11040723	
3	vb.	presse	(lade) komme til udtryk trods modstand fra kroppen el. psyken, fremtvinge	komme			1.g	21063835	11040723	
2	vb.	presse	gøre stof glat vha. et meget varmt strygejern og damp	gøre		{gøre_2}	2	21063828	11040723	32978
2	sb.	prik	lille, rund plet, mærke el. punkt	plet		{plet,1_1}	1	21063887	11040765	57363
1	sb.	prik	kort morsesignal af form som et punkt, et kort blink el. en kort tone	morsesignal			1.a	21063888	11040765	
2	sb.	primat	pattedyr med store, veludviklede og (delvis) fremadrettede øjne og ofte med negle i stedet for kløer, føder typisk kun én unge ad gangen	pattedyr		{pattedyr_1}	1	21063915	11040779	11640
1	sb.	primat	forrang, dominerende stilling	forrang			2	21063916	11040779	
3	adj.	primitiv	enkel og ukompliceret, sammensat af få, basale elementer	enkel			1	21063921	11040784	
11	adj.	primitiv	som befinder sig på et udviklingstrin nær et oprindeligt udgangspunkt mht. kultur el. biologisk udvikling	befinde			1.a	21063922	11040784	
5	adj.	primitiv	med en forholdsvis lav materiel standard, fx mht. udstyr el. bekvemmeligheder	standard			1.b	21063923	11040784	
3	adj.	primitiv	"grov; plat; banal og unuanceret"	grov		"{beskaffenhed_1; egenskab_1; side_7_1}"	1.c	21063924	11040784	78325
2	adj.	primær	først, oprindelig el. grundlæggende i en rækkefølge el. et udviklingsforløb	først		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21063936	11040795	78120
9	adj.	primær	som kommer i første række, som prioriteres højest	komme			1.a	21063937	11040795	
7	sb.	princip	grundlæggende regel el. norm som nogen bevidst følger mht. holdning el. adfærd i konkrete sammenhænge	regel		{regel_1}	1	21063945	11040803	27475
2	sb.	princip	gældende lovmæssighed for metode el. funktion inden for et (fagligt) område	lovmæssighed			1.a	21063947	11040803	
1	sb.	princip	(grund)væsen, natur	væsen			2	21063946	11040803	
5	sb.	prins	(titel for) ikkeregerende mandligt medlem af en kongelig familie, især en monarks søn, svigersøn el. barnebarn	medlem		{medlem_1}	1	21063962	11040813	4617
0	sb.	prins	(titel for) mandligt medlem af visse europæiske fyrstehuse	medlem		{medlem_1}	1.b	21063963	11040813	7656
17	sb.	prinsesse	(titel for) ikkeregerende kvindeligt medlem af en kongelig familie, især en monarks datter, svigerdatter el. barnebarn	medlem		{medlem_1}	1	21063967	11040815	7658
1	sb.	prinsesse	kvindeligt medlem af visse europæiske fyrstehuse	medlem		{medlem_1}	1.a	21063968	11040815	7659
23	sb.	pris	pengebeløb som noget koster	pengebeløb			1	21063996	11040833	12923
6	sb.	pris	skade, offer el. afsavn som er en menneskelig omkostning ved noget el. en ubehagelig følgevirkning af noget	skade			1.a	21063999	11040833	
5	sb.	pris	hædersbevisning el. præmie som gives til en person der har gjort en særlig indsats, fx ved at vinde en konkurrence	hædersbevisning		"{hædersbevisning_1; æresbevisning_1}"	2	21063997	11040833	12924
1	sb.	pris	lovprisning, ære	lovprisning			3	21063998	11040833	
16	adj.	privat	som ikke hører ind under el. angår staten el. det offentlige	høre		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21064042	11040874	74136
1	adj.	privat	som specielt knytter sig til en persons følelsesmæssige relationer, intime liv e.l.	knytte			2.c	21064054	11040874	
1	adj.	privat	som omhyggeligt værner om sit følelses- og familieliv	værne			2.d	21064055	11040874	
3	adj.	privat	som ikke optræder i egenskab af erhvervsdrivende, fagmand e.l.	optræde			3	21064044	11040874	
3	adj.	privat	som sættes i værk på en enkeltpersons foranledning og ikke af en større organisation, virksomhed, sammenslutning e.l. el. som led i et større tiltag	sætte			4	21064045	11040874	
1	adj.	privat	som (kun) er rettet mod en enkelt el. ganske få personer og ikke foregår på en skole	rette			5	21064046	11040874	
19	adj.	privat	som ikke ejes el. drives af det offentlige, men af én el. flere enkeltpersoner, en organisation, en forening e.l.	eje			1.a	21064047	11040874	49597
4	adj.	privat	som ikke arbejder for staten el. den offentlige sektor, som har en selvstændig virksomhed	arbejde			1.b	21064048	11040874	
7	adj.	privat	som varetages af en familie e.l. og ikke af en (større) organisation el. sammenslutning, som regel det offentlige, som foregår i en persons eget hjem	varetage			1.c	21064049	11040874	
4	adj.	privat	som knytter sig økonomisk til el. afholdes af den enkelte borgers el. den enkelte families husholdning	knytte			1.d	21064050	11040874	
1	adj.	privat	som ikke rejses af det offentlige, men af den forurettede part	rejse			1.e	21064051	11040874	
10	adj.	privat	som (kun) angår el. vedrører en enkelt person el. en lille gruppe af personer, og som ikke vedkommer andre	angå		"{beskaffenhed_1; egenskab_1; side_7_1}"	2	21064043	11040874	78119
3	adj.	privat	som specielt udgår fra, tilhører el. er karakteristisk for en bestemt person el. gruppe af personer	udgå			2.a	21064052	11040874	
5	adj.	privat	som ikke vedrører, hører ind under el. relaterer sig til en offentlig, professionel el. politisk sammenhæng	vedrøre			2.b	21064053	11040874	
6	sb.	privilegium	særlig, evt. lovfæstet, rettighed som er forbeholdt en bestemt person el. gruppe af personer	rettighed		"{ret,1_2; rettighed_1}"	1	21064095	11040912	17813
1	sb.	privilegium	behagelighed, fordel el. gunstigt livsvilkår som skyldes heldige omstændigheder	fordel			1.a	21064096	11040912	
10	sb.	problem	væsentligt, uafklaret anliggende som man bør forholde sig til vha. analyse el. tankevirksomhed	anliggende		{anliggende_1}	1	21064113	11040922	37954
6	sb.	problem	vanskelighed som skyldes bestemte omstændigheder, og som det kræver en velovervejet og målrettet indsats at overvinde	vanskelighed		{vanskelighed_1}	1.a	21064114	11040922	48059
3	sb.	procedure	fastlagt måde at gøre noget på, ofte reguleret vha. formelle regler	måde		{måde_1}	1	21064132	11040936	39211
1	sb.	procedure	række af forbundne handlinger el. tanker	række			1.a	21064134	11040936	
1	sb.	procedure	anklagerens el. forsvarerens afsluttende indlæg i retten efter bevisførelsen	indlæg			2	21064133	11040936	
5	sb.	procent	en af hundrede lige store dele som en helhed kan deles op i, 1/100	del		"{kvantitet_1; mængde_1}"	1	21064135	11040937	37312
1	sb.	procent	ændring i forhold til en oprindelig størrelse, beregnet som hundrededele af denne størrelse	ændring			1.a	21064137	11040937	
4	sb.	procent	rabat el. aflønning beregnet som hundrededele af prisen	beløb			2	21064136	11040937	56947
5	sb.	proces	forløb el. serie af handlinger der indebærer en forandring el. udvikling	forløb			1	21064144	11040945	37066
1	sb.	proces	retssag, rettergang	retssag		{retssag_1}	2	21064145	11040945	72614
10	sb.	producent	person el. virksomhed der fremstiller bestemte varer	person		"{hoved_3; individ_1; mand_3; menneske_1_1; person_1; m/k'er_0}"	1	21064160	11040954	7320
2	sb.	producent	person el. virksomhed der finansierer el. forestår produktionen af en film, en teaterforestilling e.l.	person		"{hoved_3; individ_1; mand_3; menneske_1_1; person_1; m/k'er_0}"	1.a	21064161	11040954	7327
10	sb.	produkt	genstand el. stof betragtet som en vare	genstand		"{vare,1_1; handelsvare_0}"	1	21064167	11040957	15714
1	sb.	produkt	(tjeneste)ydelse som en virksomhed tilbyder sine kunder til en bestemt pris	ydelse		{ydelse_1}	1.a	21064169	11040957	39524
1	sb.	produkt	værk der er resultatet af en intellektuel el. kunstnerisk virksomhed	værk		{værk,1_1_1}	1.b	21064170	11040957	15380
3	sb.	produkt	noget hvis opståen el. særlige præg skyldes en bestemt udvikling el. påvirkning	noget			1.c	21064171	11040957	
1	sb.	produkt	resultat af en multiplikation, dvs. den værdi der fremkommer når to el. flere tal (faktorer) ganges med hinanden	resultat		{resultat_1_1}	2	21064168	11040957	45914
10	sb.	produktion	det at producere	producere		{aktivitet_1}	1	21064177	11040962	42848
5	sb.	produktion	mængde af varer, energi e.l. der produceres et bestemt sted i en bestemt periode	mængde		"{gruppe_1; samling_3}"	1.a	21064180	11040962	8770
1	sb.	produktion	fremstillingsmetode el. -proces der benyttes inden for fx industri el. landbrug	fremstillingsmetode			1.b	21064181	11040962	
1	sb.	produktion	række af værker som fx en forfatter, en kunstmaler el. en komponist har frembragt i løbet af sin karriere el. i en bestemt periode	række			2	21064178	11040962	
1	sb.	produktion	kunstværk, bog, cd e.l.	kunstværk		"{kunstgenstand_1; kunstværk_1}|{udgivelse_2}"	2.a	21064182	11040962	"29377;77902"
1	sb.	produktion	film, teaterforestilling e.l. (samt det forarbejde og de investeringer der er forbundet dermed)	film		{film_1}	3	21064179	11040962	26494
1	adj.	produktiv	som frembringer el. producerer meget (i forhold til den anvendte tid)	frembringe		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21064195	11040974	78118
2	adj.	produktiv	som vidner om el. er udtryk for en evne til at frembringe el. producere meget	evne		"{dygtighed_1_1; evne,1_1_1; kapacitet_1_1; kunnen_1; nemme,1_1; sans,1_2; streng,1_2_1; talent,1_1}"	1.a	21064196	11040974	68265
